time,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4
1,100.003147236864,79.6609680743584,69.1456659239426,63.1494159012128,53.0352989044318,50.0024396736748
2,100.004057919371,82.3148132044073,69.7083213839522,62.5849894913805,51.6231791546219,49.9983521601153
3,99.9962698681629,84.3535040599299,70.5296110287767,61.8477693822321,51.0971382622271,49.9987889612529
4,100.004133758561,86.0403827424983,71.4738248696758,61.1107400896935,50.8653193877743,49.9994839965932
5,100.001323592462,87.4889041178237,72.452308577087,60.4639589643121,50.7384261304474,49.9978699738479
6,99.99597540405,88.7300718630274,73.4233216838497,59.932888986696,50.6583430579641,50.0009204803348
7,99.9977849821887,89.8113041407495,74.3561620521087,59.499829385228,50.6029498891794,49.9995119416635
8,100.000468815192,90.7522333573,75.2418055568198,59.164031248093,50.5650785915318,50.002414176007
9,100.004575068354,91.5716069315396,76.0610487419965,58.9082146827636,50.5321878869445,49.9995109199261
10,100.004648885352,92.2794105480573,76.8339907909375,58.716587572376,50.5066180437248,50.000603359736
11,99.9965761308168,92.9120794642903,77.5429479415999,58.5861081958433,50.489996417726,49.9982718490274
12,100.004705927818,93.4581933589102,78.1967066131391,58.499375346722,50.471641075028,49.9994067260222
13,100.004571669482,93.9360813521012,78.7994945740904,58.4565627959345,50.4643779381346,49.9983056698592
14,99.9998537564872,94.3581107799513,79.3575444174914,58.4458001833165,50.4569644007177,50.0012905621566
15,100.003002804689,94.7302502926379,79.8697322187515,58.4613264307805,50.4513306101551,50.0018555556096
16,99.9964188633863,95.057025466196,80.3377831358765,58.498959947068,50.4468510115341,49.9992538837244
17,99.9992176128263,95.3487776615205,80.7751812390502,58.5597216642157,50.4481750774876,50.0009276785437
18,100.004157355252,95.6052251543288,81.1718187306879,58.6344056722366,50.4474208671163,49.9989707431688
19,100.002922073296,95.8354075359982,81.541701139412,58.7196913526467,50.4485700714443,50.0001531465193
20,100.004594924264,96.0369098790279,81.8837676937601,58.8147914984593,50.4519648326221,50.0016621169314
21,100.001557406992,96.2148293051618,82.1959359564969,58.9210067179741,50.4592242565507,50.0004874509594
22,99.9953571167857,96.3720384107903,82.4879496545918,59.0262288281497,50.4595349811777,49.9991765566535
23,100.003491293059,96.5187872994314,82.7613258562259,59.1397331460249,50.4653682584192,49.9989961251167
24,100.004339932478,96.6435625119836,83.0100290906495,59.2493794329068,50.4697652886302,49.9997629627078
25,100.001787351549,96.7559810197063,83.2490264743959,59.3647294012488,50.4773450649384,49.9996132282661
26,100.002577401306,96.8641620530805,83.4690521806674,59.4750744949673,50.4809834015875,49.9992980315899
27,100.002431324681,96.9557325547859,83.6714677254234,59.5886216334632,50.491347717875,50.0002915959993
28,99.9989222701953,97.0356601725454,83.859905554306,59.6971722530634,50.4937453625432,50.0012127268285
29,100.001554778902,97.1114200607064,84.041964361887,59.8009112433533,50.4991337667782,49.9996216739181
30,99.9967118668781,97.1790374532784,84.2074704471626,59.9025323323794,50.5060512028355,49.9996467789429
31,100.00206046088,97.2370321795796,84.3741935451489,60.0047187519074,50.5125244894418,49.9981243637936
32,99.9953183284638,97.2940631266531,84.525357145598,60.1002137471335,50.5163074188135,49.9976221700802
33,99.9977692298496,97.3469091294134,84.668445598832,60.1865191073142,50.5262180554207,49.9989509263257
34,99.9954617139063,97.3913916894464,84.8003182198036,60.27391125643,50.5280606180964,49.9990876029145
35,99.9959713178124,97.4403158286388,84.933420612657,60.3529347755752,50.532857847524,50.0007684506698
36,100.003234578283,97.4734835320314,85.0531447205166,60.4307215820053,50.5364048652276,50.0022846796204
37,100.00194828623,97.5102207852248,85.1760520067329,60.5006198583935,50.5420858261841,50.0021786543639
38,99.9981709948006,97.5433917321958,85.2900004346975,60.5620959976652,50.5450413443081,49.9997894316693
39,100.004502220488,97.5752336015555,85.399527881019,60.6262295480511,50.5513251663989,49.9987023919842
40,99.995344460805,97.6063941347299,85.506848135697,60.6817385298182,50.5563121990183,50.0013194897214
41,99.9993874435966,97.6323891412049,85.6128696802031,60.728416167139,50.5590725179703,50.0012966369157
42,99.9988155845709,97.6638718494866,85.7111123934751,60.7751031793011,50.559480571124,50.0012032403249
43,100.002655167881,97.6830391873111,85.8139541061572,60.8126829240426,50.5623040758491,50.0012184417074
44,100.002951999011,97.7032729931999,85.9091333379327,60.8444485649964,50.5684208505434,49.9980296020837
45,99.9968687260455,97.7317382921629,86.005365580996,60.8742432143491,50.5713917829644,50.0009078021524
46,99.9998976439579,97.7528306882137,86.0979563721568,60.9002573944475,50.5715699692578,49.999816302893
47,99.9994558620071,97.7669532157444,86.1884465611494,60.9224542918887,50.5712150752324,49.9985608160263
48,100.001463130101,97.7823137886501,86.2728816424136,60.938543908923,50.576373667797,49.9979925936884
49,100.002093648309,97.80156636138,86.3616132710662,60.949613743398,50.5751890612867,50.0016178723696
50,100.00254686682,97.8201900320394,86.4511002611274,60.953869317473,50.5760026866477,49.9983750486869
51,99.99776025077,97.8385701467382,86.5392211375298,60.958348559762,50.5790899985458,49.9983178495489
52,100.001797026769,97.851347192337,86.6256065244101,60.9550553184584,50.5759384682988,50.0008299360821
53,100.00155098004,97.8702433073217,86.7078189740301,60.9510820720962,50.5764831968621,50.0019719468768
54,99.996626117352,97.8864464887816,86.7947683574722,60.9438580151769,50.5797600650142,50.0000827910418
55,99.9961899768156,97.8964183283719,86.8762284607545,60.9367941637781,50.5793810480316,50.0010135115348
56,99.9999836405198,97.909815622708,86.959631069584,60.9226076392605,50.5787526357467,49.9982679518831
57,100.004597439585,97.9256735025833,87.0358175792526,60.9052979075632,50.5793750297661,50.0022672853494
58,99.9984038572667,97.9396978817503,87.1126210129799,60.8896696438061,50.5786986242799,50.0002044204062
59,100.00085267751,97.9542584780569,87.1877272393317,60.8683945944645,50.5783713812569,50.0008986694911
60,99.9972381193949,97.9683361023472,87.2673564231975,60.8473875501325,50.5750518186728,49.9976828150902
61,100.002512670593,97.977188062431,87.341993163725,60.8309123977435,50.5761703317433,50.0015460192565
62,99.9975509511546,97.9916412853005,87.4097241239394,60.8073902411008,50.574471988452,50.0012430943589
63,100.000059570517,98.0093595315299,87.4750050020897,60.787885706114,50.5725881552094,49.9981009350899
64,100.001990767227,98.0139425345899,87.5417556137445,60.7651958934187,50.5697798562767,50.0001252258238
65,100.003909032525,98.0345967468815,87.6026561348148,60.7441801753336,50.5722818660264,49.9991291681438
66,100.004592914252,98.0441504899527,87.6619733455216,60.7267002146831,50.5689181834705,50.0002322471995
67,100.0004721553,98.0529157051027,87.7175147343954,60.7101062774163,50.5691906993687,49.9994944037619
68,99.9963862444283,98.0645355421875,87.7680027948351,60.6961805986977,50.5688272622548,49.9995754669331
69,99.9964929400556,98.0714939891062,87.812333648499,60.6784385822498,50.5646527153915,49.9984036888013
70,99.9975750825412,98.0835000590415,87.8558253591585,60.6752306414486,50.5639200696789,49.9987769337024
71,100.00340717256,98.097766423175,87.8870673385179,60.6689376514202,50.5653344530023,49.9976026788733
72,99.9975428217897,98.1024477825645,87.9194682483812,60.6705379432726,50.5644470477559,50.0021183780631
73,100.003142848261,98.110362468153,87.9394759390292,60.6714405416077,50.5661120526692,50.000768499445
74,99.9974352496873,98.1150473316269,87.9588328056077,60.679525976429,50.5654642994386,50.0021630678602
75,100.004292636232,98.1244158911917,87.9627772185885,60.694742907466,50.5651705084464,49.9983175618426
76,99.9984998376598,98.1318657246142,87.9704908806613,60.7095630955888,50.5619842494553,50.0021054862795
77,99.9969659525043,98.1377739267631,87.9645900850196,60.7346270622376,50.5626085032376,50.0014732894269
78,99.9975108385798,98.1395712542252,87.9591358167439,60.765633689194,50.5634613155077,50.0003869709835
79,100.001160446761,98.1430634230307,87.9443157643703,60.7972914965586,50.5680899399082,49.9997001779788
80,99.999732888489,98.1520885853567,87.9177586424596,60.8375326507511,50.5701299945294,49.9987880686836
81,99.9985165950706,98.1448501013365,87.8925895522972,60.8802457902128,50.5703965155801,50.0012597319693
82,100.003308286279,98.1544021890309,87.8600444970892,60.927190478926,50.5694500860268,49.9986433474105
83,100.000852640912,98.1550599409084,87.8265610709123,60.977202329802,50.574538676838,49.997820935437
84,100.000497236083,98.1534474945446,87.7860231616965,61.0356941686868,50.5737910707352,50.0013366475539
85,100.004171936638,98.1453093986148,87.7352808700047,61.0915222339938,50.5764107760089,50.0008560109268
86,99.9978583901882,98.1448116922137,87.6889488860316,61.157256019349,50.5818587270398,50.0010760625739
87,100.002572002291,98.1426566222109,87.6345519884789,61.2224710444426,50.5832815557508,50.0007103041422
88,100.002537290943,98.1424186786865,87.5724001616597,61.29001195683,50.5881042645673,49.9995952414681
89,99.9988044584697,98.1327707129822,87.5189956119448,61.359768730753,50.5919209824442,49.999453810411
90,100.000678216407,98.1335380131282,87.4566626124889,61.430283479747,50.5945481391942,50.0015807005144
91,99.9957585428956,98.1219359763874,87.3994925584653,61.4996492177679,50.598916433907,49.9990871393183
92,99.9955395011867,98.1211832391594,87.3288226480509,61.5694512831787,50.6000182833542,50.0015726988645
93,100.00030797553,98.1130066703437,87.2697361045144,61.6424029778229,50.6062664186756,50.0014453675747
94,100.002791672301,98.1087588511271,87.206269834166,61.7105288088427,50.6112116362325,50.0017613194517
95,100.004340106842,98.1007158592391,87.1438270732658,61.7764084831388,50.6144518449878,50.0000281830879
96,99.9962990620847,98.0948394874133,87.0844924110425,61.8451483579885,50.6142551719914,50.0006783069443
97,100.000688236609,98.0867338996202,87.0196324898832,61.9162689143609,50.6193974024972,50.0022544720769
98,99.9996939064106,98.0730991262178,86.9640574818528,61.9786020086576,50.6230850852685,49.9997198207751
99,99.995119020695,98.0683630303792,86.9033740274435,62.0434079548073,50.6282895215582,49.9978000940989
100,99.998371226444,98.0550564435638,86.8435128675058,62.0997017470088,50.6313695228604,50.001833749485
101,99.9966218230819,98.044991845231,86.7907486001928,62.1595417711267,50.635760151442,50.0006559436713
102,100.002942845407,98.0435822081931,86.7437879805507,62.2150368991638,50.6369333038044,49.9992753682594
103,99.9981121504205,98.032849846361,86.6923894339013,62.2634817661994,50.6392986194345,50.002485016358
104,100.000285331355,98.0244228701776,86.6429632514909,62.3163074928676,50.6417428275986,49.9986208574949
105,99.996656487295,98.0205070953083,86.6006746745504,62.36085511836,50.6481180507011,50.0007622553648
106,100.001019819414,98.0097254709038,86.5618945827804,62.4018571562798,50.6480028187424,50.0005249532095
107,99.9976297128454,98.0021331057819,86.5201453583767,62.4443183707297,50.6515217880049,49.9994362271574
108,100.001540790985,97.9970880913373,86.489740113167,62.4788752206319,50.6547798397983,49.9982109357965
109,100.001892145031,97.9894285963495,86.4534139216602,62.5114984810318,50.6554052381504,49.9976256749285
110,100.002481515928,97.9803664463431,86.4303653804368,62.5416719088892,50.65958485703,49.9996055612688
111,99.999505415985,97.9700219444047,86.3991066903114,62.5675233904464,50.660698095831,49.9984205014471
112,99.99583821378,97.9644505093633,86.3810218066438,62.5905377120121,50.6607442852543,50.0011288763373
113,99.9972897696872,97.9650306383605,86.3570045080889,62.6088640894986,50.6654859011439,49.9993518134326
114,100.004133373615,97.9512678109964,86.3422170505681,62.6282811824018,50.6633991742262,50.0017078004373
115,99.9965237801897,97.9508373876063,86.3283307835215,62.6382053141003,50.6655583434097,50.001171148456
116,100.003258169775,97.9431620235502,86.3238361754749,62.6483460933901,50.6662620431137,50.0003551293641
117,100.000383424353,97.9470222507826,86.3196488848833,62.6542165757567,50.6685502185176,49.9983842752881
118,100.004961347166,97.9407911822482,86.3169923728212,62.6541916871325,50.6669332639836,50.002286920113
119,99.9957817552875,97.9355546064272,86.3181806771101,62.651890155056,50.6689388561898,49.998826610181
120,99.9994267826978,97.9325891217015,86.3260851887295,62.6450011574239,50.6676359232521,50.0021229044762
121,99.9960665277018,97.9263745976928,86.3359985285458,62.6328153909183,50.667694721629,49.9986188520235
122,100.004618980809,97.9307894179381,86.3501168491531,62.6210140786616,50.6709203985261,49.9993678190382
123,99.9950463422413,97.9233641780804,86.3676520564687,62.6051861887852,50.6680388312343,49.9979375017479
124,100.002749104647,97.9230163336215,86.3924032332297,62.5831286157255,50.6690275115333,50.0007005827412
125,100.003173032207,97.9273365990894,86.412407657829,62.5529770747492,50.6700524453622,49.9984030844388
126,100.003686947054,97.9236443302762,86.4475112626013,62.5219232278762,50.6663377129484,49.9977252555374
127,99.9958443584551,97.9317497160969,86.4787493271801,62.4890747940593,50.6664262399705,50.0011158673959
128,99.998997826491,97.9333716336045,86.5177587996822,62.4499332763324,50.6652808628513,49.9992371882279
129,99.9975987040285,97.934671282762,86.5668472163823,62.4042594854969,50.6619339009411,50.0008030841225
130,100.003000684802,97.9319151386405,86.6153573112777,62.3538545733862,50.6611267944807,49.9994193430054
131,99.9993141382746,97.9403970646765,86.6704718787358,62.3044319007493,50.6561812749277,50.0006367325122
132,100.004106475944,97.9431632068473,86.732613516213,62.2398827201773,50.657922710421,49.9976082490732
133,99.996818470283,97.9524384136629,86.7994445252146,62.1756091367076,50.6514502893537,50.0020528499426
134,99.9976380291652,97.9547881925854,86.8673674653141,62.1059926511447,50.6488898693256,50.0015027932814
135,99.9964553898038,97.9625139216273,86.9474932841842,62.0307283759364,50.6483482415809,50.0012292374217
136,99.9963606855871,97.9661047823824,87.0287731563791,61.9524109050964,50.6432595203674,50.0015655640681
137,100.003692922076,97.9736455984896,87.122042875045,61.8651339497135,50.6408756436826,49.9994165315931
138,100.000797045874,97.9860338721352,87.2177907589967,61.7689695441666,50.6348796787663,50.0005863961616
139,100.000498602018,97.9881132052627,87.314934494677,61.6754142130956,50.6298434046405,50.0003774742985
140,99.9964495479822,97.9987800237455,87.4266266083995,61.5690963062698,50.6239250183315,50.0001502585238
141,100.003530311177,98.0102055613788,87.5413253002756,61.4580024329556,50.6221029350945,49.9988753487791
142,100.001220551315,98.0242387071725,87.6622636294234,61.3366977470927,50.6155069064978,49.9987431447983
143,99.9985095238089,98.0413412232924,87.7926408484511,61.218539087033,50.6099357611692,49.9997581938523
144,100.000132495399,98.0547453103651,87.9207573308971,61.0902941330196,50.6047332054863,49.9986385641301
145,99.9990180803375,98.0620368659437,88.0602496320702,60.9565884429889,50.5956312408907,50.0015222479181
146,99.9957596669169,98.0808307801347,88.2026314732581,60.8169631385199,50.5903076129535,50.0024305212095
147,99.9973991615355,98.0984380133802,88.3584972703439,60.6734105792604,50.5857081371661,49.9976499597513
148,99.9962331893483,98.1145751334717,88.5082072389256,60.5251749341117,50.57814213217,50.0001783209533
149,99.9968390778828,98.1349747071511,88.661754842702,60.3740223537974,50.5678323721677,49.9979353860995
150,99.9973995252567,98.153512810705,88.8197320614679,60.2248214949646,50.5602290866449,50.0015104572028
151,99.9991726706908,98.1697471673034,88.9756191793039,60.0726110163227,50.5522478111794,50.0024457245485
152,99.9954965443033,98.1912770594682,89.1318580351513,59.9228152686217,50.5439209685803,49.997834731292
153,100.004027161099,98.2078694039343,89.2830934764095,59.7822205352553,50.5380737871681,50.0021969918094
154,100.004447871897,98.2384561803213,89.4317305495797,59.6374191228331,50.5313285637335,49.9975908876682
155,99.9999086409247,98.2517468560283,89.5698232505102,59.5034666561122,50.5238580195087,50.0009191930687
156,99.999892526384,98.2725325001944,89.7045564629031,59.3789730880425,50.5152800158102,50.0014186824004
157,99.9983771940982,98.2964068070405,89.8165257669587,59.2664331123514,50.5058386315909,50.0001706878394
158,100.004000538464,98.315607581592,89.9206571468432,59.1677090616774,50.50157979299,50.0019267972547
159,99.9986924678112,98.3388099568143,90.0099713733378,59.0798364683552,50.4926466839465,50.0019950244945
160,99.9961120275529,98.3568404801462,90.0810612587654,59.0179651596298,50.4869343639683,50.0006296881304
161,100.002802520683,98.3812844978502,90.1362228328007,58.9687254318055,50.4817410798466,49.9981893449621
162,99.9988973883696,98.3980541800751,90.1679869962643,58.943324589066,50.4777887231824,49.9985890079686
163,99.9974169128591,98.4049927750938,90.1769924510229,58.9345332621739,50.4746832712474,49.9984107053794
164,99.9990391214559,98.4253698065717,90.1682608295336,58.9510945420068,50.4725988137294,49.9977090993199
165,99.9959645452517,98.4323257581457,90.1326813488162,58.9865424938706,50.472057539132,49.9980347082927
166,99.9963197329261,98.443150887772,90.0780913509792,59.0463099776686,50.4720116385521,50.0005822174254
167,100.004420505908,98.4512779218241,90.0030845622851,59.1285613528527,50.4726018967415,50.0021983050508
168,100.004561345402,98.4595278182252,89.907800048227,59.2249540496762,50.4749836164085,49.9992722786548
169,100.000752085951,98.4561138926248,89.7876894830672,59.3439372695436,50.4815300510117,49.9995531454503
170,99.9955977954295,98.4608005316913,89.6586710789445,59.4701830225906,50.4849201024307,50.0024217470849
171,99.9973477991337,98.4505966628962,89.5218670737853,59.6193210443395,50.4894919277063,50.0022278959452
172,99.9985315857122,98.4484891543893,89.363732428264,59.77137498659,50.4938127686717,50.0008832233922
173,100.003211940402,98.4396631186507,89.2062223085764,59.9355407927699,50.5009242360861,50.0024415113116
174,99.9951540343765,98.427629530956,89.038562938482,60.1066136231233,50.5078805502368,50.0013341569361
175,99.9954302380166,98.4162904944191,88.8696369178971,60.2756014952673,50.5202898295055,49.999183496322
176,99.9966899002946,98.4011536440136,88.6922831752885,60.4515539626701,50.527856391343,50.000811909302
177,100.00149115475,98.379818190081,88.5171457179569,60.6271204178647,50.5360285447766,49.998720826434
178,100.002317223857,98.3613202986635,88.3465702753332,60.8026339220064,50.5439187614986,49.9989775362542
179,100.001477459631,98.3506407176059,88.1768386077126,60.9736770139225,50.5523964702889,50.0009008918562
180,99.9995092370643,98.322243542746,88.0084044549731,61.1358130627358,50.5639278396495,50.0001392341521
