time,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4
1,98.9914207491499,78.0769720253416,70.5972993541919,61.9472851784639,53.0961815363262,50.1893173711343
2,99.9826013513169,84.2061344141922,70.0652776038167,63.9219536571125,51.3589624164893,50.8558617545719
3,101.949521158423,82.8875292327287,71.2397271530651,62.136560689718,51.0460295923237,49.9993149340534
4,100.007072949343,84.5482247480784,72.3434200513331,62.2843723123365,52.1213336354218,49.847562219148
5,98.8849761955199,85.980531882856,72.038308378601,60.2383788888345,51.0043169971537,49.1226427081142
6,100.169790893334,86.9119457104982,72.5120013349771,60.2527651933266,51.7869394105501,48.8206986272395
7,100.371247768928,89.6078231427928,72.6342089145052,58.2243523203965,50.5802394384513,50.6416744699609
8,99.5640220086053,91.5174667944021,75.1333105876756,60.4209417283345,50.4061495143452,50.7402655898571
9,97.5738183140252,93.0858897792922,76.6153988813723,59.3255828089475,51.2201836607318,49.4838889860436
10,101.013824017141,93.6224685197457,75.9821583737401,57.556276308138,51.1231280887393,49.0380168650451
11,100.033735757435,93.896218377241,77.6110737887053,59.1712301340852,50.3437829156027,49.68772907747
12,99.4063304921348,93.3275708158404,77.2032602698472,58.1952190150069,49.3455540563388,50.8222343626419
13,97.8246576743693,94.9159044031434,78.0040928202304,57.2422608069204,49.42314866041,50.8544414548869
14,99.2928998033051,96.5198112343394,79.9551807988894,57.6102491082261,51.2075278764085,50.4130961288945
15,98.6712562126612,94.7581105828768,81.4329025435351,57.7273820039857,50.8434829718917,51.1503499397156
16,98.5175202644449,94.1322947939636,81.7914108575907,57.7022067320313,49.2687970162907,51.1077947305268
17,101.568897915821,96.7303524634049,79.6028856211814,59.1551162581234,50.5916291401728,49.0317487309518
18,99.4671729679674,94.3449843450334,80.7644936262232,59.3799594113527,51.0028623230759,50.370718623064
19,97.7678758543075,94.5592442596708,83.1240923110426,58.8598763653731,49.4676621376853,49.9520101291986
20,99.3752578913623,95.8645754564425,80.8862762621517,58.9738588987186,49.738609482275,48.9163017298728
21,101.374970887088,96.7877715171548,84.1164834149639,59.3037728068241,51.241892441071,50.99442806383
22,98.3264881043539,96.928941506337,82.9811408885447,60.4593871713789,49.5500107648821,49.9930753223425
23,102.061094485183,94.6946426305365,81.3755516194303,59.5344834262659,51.4303268485929,50.6782585721466
24,99.0960289090462,94.8253545590478,84.3658988629643,59.5476240474646,51.540904029839,48.9009055735599
25,99.1488983414197,95.7146656928866,83.8943700953589,60.5776628182658,49.2478917922366,49.4061436622601
26,98.5211783504755,98.0015628092469,83.6588819307667,59.6863412124963,50.1733693383534,50.3776734217562
27,101.336073681899,96.5221444818015,82.6292330055211,59.0964434228212,49.6507438572898,49.0840097761244
28,97.8498657447641,98.6313142311533,81.9330626097782,61.0601105033435,50.5968301562458,50.346364342062
29,102.250169740068,99.2229323118921,82.920884547815,59.6220096341389,49.4953612949512,49.7123577374197
30,98.2910489245344,96.6877655871419,83.6259841015605,60.2083750609005,49.3435133813878,50.6642453141868
31,98.932229332005,95.0627286390968,84.9337506653182,60.6637960843657,51.6069260682156,50.3822892053903
32,100.935645573685,97.6423030595049,86.5764509979387,60.6347202328246,51.709521193856,49.7037226632063
33,98.205749118189,98.5526910184771,83.426065068779,59.3231402769671,50.1723935073614,49.5000464568511
34,100.060433252417,96.5186564794459,85.8924133874218,59.012040812215,50.8932361211529,49.6003488887669
35,101.106634636471,97.4025380624578,86.5732121317733,59.672759418573,49.4422169314961,51.047316341781
36,102.144225678099,96.1198436702696,84.9391035667946,61.5391393124851,49.8005320230548,49.8906670332581
37,101.160519250081,99.6546360833208,83.7240578039313,60.6785454584219,49.3796129951276,49.8562423814953
38,101.249240103691,97.4603009168902,86.6175443148663,60.4569968664662,50.4698941656771,49.8854645490388
39,99.5365980155275,97.7730276861641,85.3021041460368,60.4127630445334,49.6668944890275,51.1132050229666
40,98.6974584779394,96.2456824737625,83.8690401074538,61.5100224230793,51.7968913988384,49.2977973813754
41,100.104252375415,95.6617534290204,87.2218682785548,61.1956950718025,50.3740292631274,50.9560069898293
42,98.5953868005445,95.5120306444579,86.2939626975156,61.2520500172527,51.712770204646,48.7996885570618
43,101.711939519494,99.2442617364873,84.0851816767613,59.7814452791934,51.1313695185288,49.6044122080933
44,100.814664545256,99.0326102853726,87.663822212343,60.6408174412347,50.7715415653075,50.665068614236
45,101.581176425832,96.2408324251586,84.0041636722118,60.8915513729866,50.6711338397066,49.6070092537985
46,101.469388000513,99.6792444958171,84.1149444787895,60.5212057059844,51.0908716051002,50.297016010386
47,99.8455260177588,98.6684795651027,88.2926688153357,60.8611520383713,49.3215782484134,49.8825529052297
48,99.0476248966729,98.5529869171586,87.0800641736003,60.4564450315876,51.28913380226,48.7754065065698
49,100.937896237569,100.201993082332,85.8328483186902,61.7924204154977,51.6554505561445,50.2477029186762
50,102.43426111695,95.5403442552519,86.4713520272213,60.6012655512434,49.3335970840494,50.2539208708962
51,101.349669379278,97.4670976364975,87.6790860652679,61.6029452355342,51.3987942852159,50.3735436274034
52,101.647904233626,97.8046673169356,84.6703491098395,60.8994422355957,51.2544863333964,49.6068015814555
53,101.030423827252,98.2778627295137,87.6881137613244,61.6519151069374,51.8359956567454,49.9832481389372
54,100.476682093239,95.8448099174669,87.6656743309991,62.2794505718298,49.8901602153065,50.5044348631338
