time,T_Cu1,T_Cu2,T_Inco1,T_H25,T_Inco2,T_Cu3,T_Cu4
1,150.004720855296,145.894631624521,124.961139899636,73.8383394278427,48.2468414598338,26.2366378211655,24.9997789837835
2,150.006086879056,145.897961305519,124.995667739264,73.887603822513,48.2792899964197,26.2365567924619,25.0002565955451
3,149.994404802244,145.911116856792,125.026128311662,73.9389143504081,48.3077588673574,26.238742902532,25.0006263001398
4,150.006200637842,145.909268567786,125.048528775446,73.9821041202744,48.3383831910311,26.2409632091072,25.0002088329357
5,150.001985388693,145.922459398216,125.066282431679,74.0237054663056,48.3643850589707,26.2418754675316,25.0001294812873
6,149.993963106075,145.920726961318,125.091007065016,74.0699305932809,48.3891119752052,26.2451447701909,25.0002089265469
7,149.996677473283,145.928739195683,125.113466030172,74.1049681705014,48.4134480221869,26.2459870672283,25.0000295497999
8,150.000703222788,145.937522622029,125.140175487112,74.1432571710023,48.4397372897341,26.2490101545526,24.9989564818175
9,150.006862602532,145.944543241789,125.14897930691,74.1799700638072,48.4603495301948,26.2489077658159,25.0005489253371
10,150.006973328028,145.938852142591,125.175856469366,74.2106075330099,48.4799404459649,26.2508291561955,25.0012403902782
11,149.994864196225,145.955505296686,125.190394371523,74.2447588881414,48.5016134543642,26.2508828749347,24.9996363357624
12,150.007058891726,145.957309673971,125.20330781657,74.2719405209851,48.5161979180423,26.2526901267084,25.001178147038
13,150.006857504224,145.956926093642,125.216408187507,74.3022549083805,48.5368515189539,26.2532603999142,24.9996161219033
14,149.999780634731,145.959813653067,125.233993044837,74.3291100438926,48.5534335159895,26.2559164518093,25.0009663596544
15,150.004504207033,145.96341257488,125.248513712619,74.3524738225886,48.5683470225641,26.2572452441146,24.9998867371625
16,149.994628295079,145.964620867185,125.257108422719,74.3733194522547,48.5814510648519,26.2568573969478,24.9997835682226
17,149.998826419239,145.970658313156,125.2754165208,74.3983733091835,48.5976178175394,26.2586638510568,24.9992943301709
