time,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4
1,149.273125896445,146.536722490308,128.075204104968,44.151050503152,25.2691516373624,25.438659869412
2,149.291313341647,146.641330409925,128.242647605912,44.2123484663248,25.2668827452217,25.4410354780473
3,149.27929505166,146.56357794474,128.27846442391,44.2452681291777,25.2827792335446,25.4479836741375
4,149.318852345205,146.627445376236,128.290154790969,44.3073221292883,25.2860023018718,25.4289547767793
5,149.365836318514,146.602445206041,128.250994067969,44.3152091325277,25.2776716221633,25.4331632695101
6,149.268047939748,146.660362753092,128.415690158017,44.3521098008753,25.2780345579375,25.4274654392863
7,149.26170225415,146.615861286233,128.377481173132,44.4008357267679,25.2843019411256,25.4294952154963
8,149.363140429004,146.730925768661,128.415772047871,44.4135944460705,25.2809802207695,25.4276060220266
9,149.363944823697,146.608244613998,128.464897076866,44.4519355532492,25.2797028979362,25.4305340537839
10,149.271503521245,146.633566306643,128.503514713444,44.4995593042676,25.2876500248056,25.4451238220712
11,149.236483640483,146.705558700177,128.58794532518,44.5046212336848,25.2864849887818,25.4483488159987
12,149.342144031316,146.66379335115,128.604939419688,44.5542725946598,25.2870014028385,25.4388636812849
13,149.244624111702,146.647891293924,128.58497746039,44.5931048869889,25.2989407701123,25.4470226866138
14,149.29423460953,146.661879705501,128.664565617,44.6000861645819,25.3085995446182,25.4316258024719
15,149.291037712461,146.780540883475,128.627912270184,44.6159397659589,25.2899651096691,25.4366162142714
16,149.315762613971,146.68962181008,128.609101291764,44.6589479110167,25.3101313196247,25.4351141666401
17,149.244065415882,146.686489801591,128.666669132752,44.6893994493942,25.3025554572938,25.4433080837041
18,149.31486895759,146.753831960306,128.691389921113,44.6962721217659,25.2940249875629,25.4495164051327
19,149.244831188146,146.662756030114,128.731693084201,44.7088935934027,25.3084930111087,25.4313540443334
20,149.242312824849,146.678447594498,128.7562230634,44.7257486764027,25.3082487645282,25.4447319829927
21,149.291173338562,146.717023640542,128.804650283608,44.7325059360984,25.3010051874928,25.4389028505773
22,149.265677249331,146.708904323104,128.779901103072,44.7614414983533,25.3069692197787,25.4449087510154
23,149.366628376075,146.782257013087,128.872637523437,44.7800348995509,25.2950213838353,25.4479286256458
24,149.302508789914,146.787030254625,128.802950653158,44.8127348819761,25.2958945813506,25.4318438423588
25,149.291806134082,146.813127675024,128.881541011889,44.8213086550047,25.3169952750144,25.4493992287783
26,149.271300556643,146.773887935388,128.918764649027,44.8314028556438,25.2998737158546,25.4265856883946
