time,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4
1,150.248677237425,146.731425030722,128.651977390754,44.6702619946643,26.5397447981374,24.3313296121567
2,150.296898698536,146.77633847511,128.618645608586,44.7135953940411,26.5450542681079,24.3209725281634
3,150.356890088408,146.809656172412,128.756117591968,44.7581880080571,26.5629406138997,24.341753791503
4,150.265435604926,146.819233114821,128.755110572698,44.8133899183843,26.5477902274301,24.3317402640881
5,150.377473796351,146.756746799527,128.738404804535,44.8352536105708,26.5693386582153,24.3385920965862
6,150.288521829067,146.766182550563,128.863676309374,44.8696455154852,26.5725493818879,24.3208185666003
7,150.290107912038,146.798572286739,128.879853569972,44.9178038409251,26.5508984864884,24.3258709474873
8,150.27127631231,146.873154820315,128.902219099963,44.9354133470062,26.5623164950739,24.3355862450823
9,150.355723172253,146.833673678365,128.898926159418,44.9561670329514,26.5587278586377,24.3226496086259
10,150.251136934138,146.902593677407,128.904901912974,45.0140384412427,26.5701872865043,24.3352731542853
11,150.383146053998,146.925507083524,128.961647925974,45.019391170047,26.5604750480757,24.3289330882389
12,150.264372429532,146.853956043497,129.008516827336,45.0539916463694,26.5604711898652,24.3384519640066
13,150.283607841756,146.809815587167,129.07273542057,45.0854530019596,26.5852740710822,24.3356324029186
14,150.343710329006,146.892298650011,129.14605862131,45.1085404629352,26.5877518698927,24.3288467374968
15,150.261813435341,146.924289341232,129.071758591502,45.1113784876338,26.5732782242107,24.3268099754332
16,150.317453959368,146.867467432725,129.168195271612,45.1282370003991,26.581999047006,24.3278129997524
17,150.34884000089,146.898365367202,129.209080403136,45.1586949366943,26.5682956699083,24.3422826742825
18,150.379967732139,146.863918770046,129.178555510777,45.2062573509595,26.5731702964814,24.3307161811973
19,150.350456539298,146.974229993505,129.1600293081,45.2122174369118,26.5699685079136,24.3303719346796
20,150.353118164906,146.912087999006,129.265508477813,45.2269236867185,26.5822775212575,24.3306641563551
21,150.301738902261,146.925191510695,129.242318286707,45.2435110265867,26.575044676838,24.3429415610944
22,150.276564716134,146.882858209977,129.214873515374,45.2763816142912,26.5979650631338,24.3247874846784
23,150.318768533058,146.868747291746,129.331610020723,45.2875147290135,26.584262487312,24.341369580763
24,150.273502565812,146.867546252594,129.317988812231,45.303511313137,26.598951364714,24.3198063964353
25,150.36699914738,146.982770986096,129.265041076366,45.2961475930798,26.5938326934553,24.3278536329456
26,150.340080898153,146.979421684082,129.38616896543,45.3228726607538,26.5909582534609,24.3384601970071
27,150.363076254571,146.89850661084,129.288256764534,45.3399647244683,26.5907192535198,24.3278796034027
28,150.359722601811,147.004455888067,129.30347314206,45.3472711562295,26.5958012917113,24.3347796709686
29,150.311006742328,146.976757049042,129.440434326504,45.3646271701989,26.5783160711321,24.330635039917
30,150.287069708696,146.975806958677,129.414568230012,45.3704096096311,26.5992694165259,24.3195635759304
31,150.343777848923,147.0276663884,129.387177585485,45.4016185288704,26.6037095444477,24.3342865400515
32,150.388668795304,146.890152048498,129.415899212102,45.3947759386236,26.5804483004403,24.3343487195737
33,150.356131043174,146.950119499653,129.461140469167,45.4201336644471,26.6023233018573,24.3355449471387
34,150.365078088804,146.962322749908,129.379561321479,45.4197012740409,26.6014269956481,24.3278775266792
35,150.346553676613,146.978488304955,129.477995347295,45.440549737224,26.6079786548563,24.3316419922541
36,150.329941424593,146.907449636815,129.484946261796,45.459165968692,26.5884880578583,24.336853859496
37,150.353572079808,146.994304653504,129.46318262165,45.4488350559024,26.6070212015279,24.3415045759004
38,150.315149292369,146.907273836619,129.48844881546,45.4747120577958,26.6002910008896,24.3206859570186
39,150.370410859897,146.98332172622,129.465734931038,45.4515952189018,26.5867912298405,24.3217685596283
40,150.250845115915,147.008035940904,129.452321094697,45.4889763365502,26.5914837656302,24.3355540805015
