time,T_Cu1,T_Cu2,T_Inco1,T_H25,T_Inco2,T_Cu3,T_Cu4
1,150.005831660191,146.140568697983,125.250549109442,73.6166325001879,48.3682960759684,26.1325271825941,25.073988746389
2,150.220214499409,145.901241328066,124.837218785621,73.6648777760358,48.3008726309023,26.2268938934979,24.9333434420179
3,149.711618373046,145.496078274562,125.123349190151,73.8102460186464,48.2317023058867,26.2264903804692,25.0252097346087
4,149.458086954117,146.018304375031,124.566383267853,74.2652525059529,48.4989217667005,26.2546538756276,24.9031155945958
5,149.963359400696,145.368433390155,124.516911815109,74.005685294688,48.3906056063377,26.3231406676339,25.003941413299
6,149.793688921228,146.175120252294,125.692797839842,73.9969143463857,48.6120896670279,26.2973740382514,25.0844601727176
7,150.432170142598,146.075984254681,124.844741852795,73.8691627812313,48.6050468431032,26.3439410970486,25.1051975269997
8,150.420443731266,145.287700143091,125.25299383178,74.491362489853,48.3682683612432,26.1302033689701,24.9995569823638
9,150.25276832138,145.292978578769,125.731689198551,74.1099290023599,48.4819857184718,26.1755832109198,24.9444027805661
10,149.450255789492,145.437807576012,124.778090573688,74.467302012352,48.4057644823694,26.2399182070165,25.0381299901871
11,149.282333830805,145.248129046453,124.804302982869,74.3286250451671,48.5591735079684,26.3721634937966,25.1043247009502
12,150.089761058809,145.858672135941,125.006587676343,74.1810782455536,48.6620358977366,26.3291472434615,25.0024598633787
13,149.701228527104,146.44201977279,125.762354400147,74.5811415167678,48.6549967504953,26.2415151515089,25.1185478709506
14,150.65911457081,146.132093440441,125.097969175736,74.5393173624138,48.3704756621179,26.2115049440873,24.9243197355243
15,150.72135545407,145.993571079445,124.964695670808,74.3268452909255,48.7246270450593,26.1405057158318,24.9027962459472
16,149.679930583341,146.498576691919,124.825883148197,74.6104189665243,48.3522892819071,26.3205043219234,24.9493385733422
17,150.451230430427,145.383291614256,125.145399049995,74.6960726909988,48.5555602769706,26.2599607862452,24.9741046338904
18,150.594167027149,146.56910612425,125.129123247593,74.3685234885663,48.7230557143233,26.1802590866951,24.9801889208371
19,150.146289865227,145.404026028678,124.835041830197,74.3182864028858,48.760102539919,26.240770342914,24.9528688394126
20,150.576025103586,146.003664743308,125.226427718439,74.5329423845247,48.5708018983624,26.173675047226,25.0484607927331
21,150.665597311794,145.460414107358,124.805947847439,74.7787318025607,48.7658979088547,26.3275266706992,24.8979679583179
22,150.07373713113,146.070367108757,125.471016950225,74.64726094559,48.8484790247009,26.2275640280009,24.9755221547593
23,150.342580236892,145.262684029654,124.723442980696,74.4219046888217,48.542610204299,26.3788445327183,24.9487952010075
24,150.115137446787,146.377367032476,125.436726999308,74.7039553041767,48.4973091609887,26.1366414064924,24.9516241947566
25,149.288786206625,146.499128121945,125.716172271489,74.882163305374,48.5529818251506,26.3504765123538,24.9013902826838
26,149.919796467427,146.600471875949,125.028906649834,74.5896191322212,48.6225447463335,26.2978747738565,25.0234569011411
27,150.219452936026,146.704689072408,125.302750465662,74.6009135329873,48.6001708443606,26.2753461259933,24.9456818790612
28,150.031804429009,146.002945070725,125.461759362374,74.442738050698,48.9199607385903,26.3052159898706,24.9138054052349
29,149.808468991169,145.663349022072,124.831405627802,74.2757341570713,48.5005729282405,26.3256990289986,24.8751646668965
30,150.655701999512,145.415699206974,125.382856563231,74.3696406175441,48.7713787890118,26.160120466558,24.9458988542696
31,150.49429923679,146.011508074365,125.571823968696,74.313942653486,48.568634944945,26.3662507201801,25.0127027187449
32,150.523628219932,146.126414253525,125.049394252142,74.6005765962679,48.9041898608119,26.1399237877845,25.0927255478759
33,149.808801359849,146.386548984319,125.826870551049,74.2712497165581,48.5832135282091,26.213850193656,24.8855633563331
34,150.139776862828,145.395070342088,125.99994773724,74.956418482156,48.7520294363372,26.1841750936955,25.1011804953666
35,150.558828846971,146.2410702431,125.848303733287,74.7618467797621,48.9998089988624,26.3805913078224,24.9077435215913
36,150.650252412761,146.031030811638,125.425909120513,74.2912389971149,48.6909643343326,26.1555106821471,25.0834322370308
37,150.252696411542,145.526997374039,125.14529124981,74.3206152454806,48.5454451357562,26.2905656158842,25.0751170937248
38,149.560164686903,146.648617965822,125.7359796843,74.4609512358241,48.6312639232787,26.3055933601287,25.1044700229997
