time,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4
1,150.004720855296,144.933665333315,118.95982513496,55.0455775033657,26.5372943682374,25.0012198368374
2,150.006086879056,144.938806983255,118.999660103692,55.0770542860274,26.5397276054414,24.9991760800576
3,149.994404802244,144.953584442154,119.033248690463,55.1120652769708,26.5407842668858,24.9993944806264
4,150.006200637842,144.953302530849,119.056435255215,55.143434213629,26.5438187331668,24.9997419982966
5,150.001985388693,144.967770597008,119.072245733381,55.1763012814083,26.5450961527052,24.9989349869239
6,149.993963106075,144.967184052291,119.091615341053,55.2154694033351,26.5464428432718,25.0004602401674
7,149.996677473283,144.976012728154,119.105705423667,55.2492404362447,26.5483279012543,24.9997559708317
8,150.000703222788,144.985308735914,119.120743891351,55.2883927317883,26.5520167150716,25.0012070880035
9,150.006862602532,144.992526373005,119.115726308873,55.3292774317422,26.5533044687372,24.9997554599631
10,150.006973328028,144.986765609845,119.125036473759,55.3684299098798,26.5547194031125,25.000301679868
11,149.994864196225,145.002837353599,119.119912038326,55.4128453104709,26.5579337701807,24.9991359245137
12,150.007058891726,145.003781277258,119.110774833858,55.4544972319713,26.5578969696842,24.9997033630111
13,150.006857504224,145.002172125549,119.09960535655,55.5006853942216,26.5617817727307,24.9991528349296
14,149.999780634731,145.003436106256,119.090775616653,55.5462138768718,26.5640049661329,25.0006452810783
15,150.004504207033,145.005039044829,119.077415018427,55.5907549743907,26.5658492273334,25.0009277778048
16,149.994628295079,145.003914032007,119.057133541053,55.6347103809825,26.5672037911238,24.9996269418622
17,149.998826419239,145.007253447904,119.045139767445,55.6827715640612,26.5706982500794,25.0004638392719
18,150.006236032878,145.007225024989,119.022029309037,55.7293386610682,26.5723318451242,24.9994853715844
19,150.004383109943,145.011182439517,119.004313320348,55.7739265490795,26.574326918667,25.0000765732596
20,150.006892386396,145.009970512982,118.986650872854,55.8180406633852,26.5769682740902,25.0008310584657
21,150.002336110487,145.006562423454,118.962660479737,55.8648017635114,26.5811958425993,25.0002437254797
22,149.993035675179,145.001187363658,118.943432342151,55.9043068517309,26.5813853933927,24.9995882783268
23,150.005236939588,145.005696415883,118.928374418049,55.9466582010833,26.5841660640499,24.9994980625583
24,150.006509898716,144.999689825453,118.906367171608,55.9814459884086,26.5859207457111,24.9998814813539
25,150.002681027323,144.99494199273,118.89667432129,56.0185924458128,26.5891220396726,24.999806614133
26,150.003866101959,145.001274891995,118.884050187227,56.0486961989481,26.5900488302181,24.9996490157949
27,150.003646987022,144.99812821681,118.868717747797,56.080061691072,26.5943449263105,25.0001457979997
28,149.998383405293,144.991190771244,118.854292210745,56.1054060320067,26.5942906445426,25.0006063634143
29,150.002332168353,144.990097706608,118.850122045143,56.1252488754984,26.5956718386658,24.9998108369591
30,149.995067800317,144.987567660706,118.840538689964,56.1423695054026,26.59772882486,24.9998233894714
31,150.00309069132,144.980229497482,118.849486517575,56.1594470887197,26.5994293547179,24.9990621818968
32,149.992977492696,144.979974920083,118.852269478487,56.1697932907481,26.5995948664466,24.9988110850401
33,149.996653844774,144.981103023568,118.85852074348,56.1711467551824,26.6028703555697,24.9994754631628
34,149.993192570859,144.976611846532,118.863001499869,56.1731222891336,26.6017813166847,24.9995438014572
35,149.993956976719,144.984878823708,118.882394594865,56.1668830038519,26.602129953007,25.0003842253349
36,150.004851867425,144.975247368772,118.895541303428,56.1590301801436,26.6016997923185,25.0011423398102
37,150.002922429345,144.975945256522,118.924968953251,56.1433158825147,26.602268652398,25.001089327182
38,149.997256492201,144.975892071519,118.953118426355,56.1191825082467,26.601274583439,24.9998947158346
39,150.006753330733,144.97800465399,118.98579242226,56.0968115182351,26.6018991137154,24.9993511959921
40,149.993016691208,144.982883199229,119.025572698784,56.0656589160788,26.6017032799996,25.0006597448607
41,149.999081165395,144.98354828927,119.073250121003,56.0254587943686,26.6001932401024,25.0006483184578
42,149.998223376856,144.995537324511,119.119374133688,55.9842839580458,26.5972987039956,25.0006016201624
43,150.003982751822,144.992166949014,119.18073567973,55.9336479068625,26.5955236002719,25.0006092208537
44,150.004427998517,144.993082722967,119.239902633487,55.8765218564096,26.5953252684842,24.9990148010418
45,149.995303089068,145.008713749394,119.308600464931,55.816375946123,26.5933137032421,25.0004539010762
46,149.999846465937,145.01572489939,119.37994763096,55.7514996560222,26.5896727160479,24.9999081514465
47,149.999183793011,145.014557750261,119.455726229566,55.6818324375478,26.5855892586105,24.9992804080131
48,150.002194695152,145.017243396826,119.530106264116,55.6052803990254,26.5842411438814,24.9989962968442
49,150.003140472463,145.027583671607,119.617081439144,55.522865870017,26.5793964514609,25.0008089361848
50,150.00382030023,145.038752124851,119.711390450675,55.4330124796628,26.5754418225201,24.9991875243435
51,149.996640376155,145.051209074734,119.809739751763,55.3422055881199,26.572524937706,24.9991589247745
52,150.002695540153,145.056906560019,119.911256636466,55.243296044235,26.5661789133181,25.000414968041
53,150.00232647006,145.073126238034,120.012196258808,55.1428736660083,26.5616301922527,25.0009859734384
54,149.994939176028,145.086714393972,120.124506777932,55.0387967411541,26.5583804568142,25.0000413955209
55,149.994284965223,145.092341665364,120.233635492099,54.9343756037735,26.5530864470202,25.0005067557674
56,149.99997546078,145.104238743278,120.349452531289,54.823320593703,26.5475507166477,24.9991339759415
57,150.006896159378,145.120895074716,120.458848486973,54.7095706787791,26.5425765376049,25.0011336426747
58,149.9976057859,145.135868877936,120.572210136102,54.5978092237282,26.5368443517031,25.0001022102031
59,150.001279016265,145.152595183118,120.685860664149,54.4818776052474,26.5312402542219,25.0004493347455
