time,T_Cu1,T_Cu2,T_Inco1a,T_Inco1,T_H25a,T_H25b,T_Inco2,T_Inco2a,T_Cu3,T_Cu4
1,149.547332691771,146.167490410797,136.763074271568,124.985760937296,76.9354220958472,69.6519190409425,47.4957969354661,34.2123821980936,26.2168742889172,24.9006019474718
2,149.542607299926,145.874896130015,137.261649299943,124.31039146987,76.5008960546757,69.7470772061031,47.5352498797302,34.1683492054085,26.2709001023636,25.1147792257835
3,149.740259472525,145.581976684703,137.263970214963,124.792821394499,76.5751251378269,69.4529153409051,47.1146845038089,34.2831818085375,26.3761029560943,24.9132254999187
4,150.570506790569,146.308539083103,137.415547330693,124.206964824073,77.0168048785497,69.9110731884798,47.3590379772502,34.1340919352224,26.2757814973875,24.9131345202739
5,149.956652797524,145.906169830857,137.777943375159,124.731687675807,76.6578694636703,70.1114183622568,47.557680074067,34.0880530680388,26.2184671955994,24.9138881470142
6,149.855954058256,146.502044740118,137.646782919858,125.154092637044,76.5396852242025,69.6030158489968,47.2865032494979,34.220299124263,26.2875589247903,24.8973923507317
7,149.518847214635,146.412692103761,137.894020062617,125.277201165809,76.8590067033353,69.86683689331,47.5883468648435,34.2948609609422,26.2996339034103,24.9886061403508
8,150.703387494221,145.6352297429,136.778500307137,124.768558339292,77.1606970456006,69.7893437302273,47.5988686953556,34.1301226801503,26.2586118865178,25.0422239232026
9,149.861183606704,145.91665886233,137.019119617487,124.510776160492,76.8291786691737,70.313584419612,47.530482907003,34.248796728134,26.1553268983579,25.0828254204876
10,150.516731094725,145.629591834755,137.358795520818,124.995228033046,77.0987458759792,70.0795079834488,47.2510583257404,34.325449610074,26.3374179059206,25.0725587842284
11,150.172987645696,146.03632910415,138.053815692006,125.341447374175,77.0750302577654,69.8586980809598,47.447503490983,34.3932666750325,26.2870916485861,25.053177729448
12,149.814916617049,146.293657283597,137.83122177454,124.847713121631,76.9652702697826,69.8000711144761,47.7131114469005,34.222823707043,26.2552390354788,24.9931493762604
13,150.565772624006,146.223223174295,137.374905329917,125.441518643586,77.008620843245,70.1138964799113,47.6220952448086,34.2622138722931,26.1731530540789,25.0521470380989
14,150.427278640925,145.321744516133,137.22008991897,124.484818260884,77.3995709638787,70.3357467706333,47.4933508571609,34.4341916851895,26.2513594721101,25.1145148702551
15,149.947431424972,146.341453254565,136.85055244403,124.389869897729,76.7548693562329,70.3646009663987,47.6275685246958,34.3775442183462,26.2196338297472,25.0014438905745
16,150.470965390231,145.181524165763,137.794921313221,124.634252223661,76.9277658436246,70.3832472334371,47.4557554335067,34.2261523119236,26.2124579599919,24.9512632788294
17,150.59766620577,145.752249247442,137.479879861925,124.769249007707,77.0771158195945,69.9615210027107,47.6242899442491,34.4095849024158,26.3737663950744,25.0724527959505
