time,T_Cu1,T_Cu2,T_Inco1,T_Inco2,T_Cu3,T_Cu4
1,150.062014271652,146.978479155339,129.087260741868,44.2094093731223,26.708646389257,25.044119923948
2,149.995858706259,147.088944319032,129.158843971796,44.2441895587206,26.7085135785537,25.0494969971822
3,150.00911398201,146.977412959893,129.095673305814,44.2775835998558,26.7156038725545,25.0623997455984
4,150.01468316676,147.098616964385,129.243289279598,44.3215817040588,26.7103910816526,25.0562785167553
5,150.055483601839,146.996900313634,129.17516306443,44.3688329449327,26.7216752529314,25.0663218813133
6,149.967522015631,147.121752102077,129.306789970188,44.3679086409474,26.7170475251116,25.0562680665734
7,149.982945427836,147.092046287081,129.344077788281,44.4251385530094,26.7014307861783,25.0531515527286
8,149.93184311569,147.095482967349,129.311405200171,44.4517213966766,26.7021205474499,25.066930058684
9,149.924533164821,147.084119366862,129.435908960017,44.4684408599705,26.7253428404305,25.0578059313773
10,149.994163378224,147.098487325629,129.377040688693,44.5278244981139,26.7142191027339,25.0663594720638
11,150.01340820321,147.110366295098,129.506460728654,44.5593017562114,26.7141962545084,25.0618530045599
12,150.0390882017,147.138713881238,129.449152290747,44.5838721992452,26.7116362415777,25.0455995808489
13,150.002310872319,147.126772574358,129.53663373269,44.5831181208776,26.7150920082923,25.0499561393296
14,149.921922327161,147.080525819372,129.558372410972,44.6172404479656,26.7218294956522,25.0481427450611
15,150.02320900157,147.111754896119,129.522441622503,44.665533325819,26.735036257412,25.0531969868995
16,149.935599976922,147.155081465167,129.56480764471,44.6797061816225,26.7344254446088,25.0553696044531
17,149.925328265199,147.14369914399,129.577154586459,44.6818088140601,26.7415848830391,25.0638579158358
18,149.919913208059,147.092379715478,129.695144122834,44.693081582573,26.7356304724877,25.0623179807927
19,149.924622638953,147.200254594973,129.666560041508,44.7235725264086,26.7272807967947,25.0574191816508
20,149.944555734131,147.206530310681,129.740945653607,44.7644524406016,26.7334224785885,25.0558023873088
21,149.970842900761,147.135516775602,129.665863758457,44.7682349197318,26.7398747005284,25.0503048331743
22,149.955759516574,147.115743616063,129.740458884404,44.8090491443335,26.7457230423921,25.0600816143508
23,149.935018860671,147.222453184353,129.777110970656,44.7864578742134,26.7258587106475,25.0585255515088
24,150.007634710045,147.147351424803,129.744644694767,44.7991936633071,26.7292066180582,25.06223811712
25,149.929615797127,147.144205303106,129.817966913417,44.8413793618338,26.732888724997,25.0645276705924
26,150.022734373709,147.234567798156,129.746660430458,44.8376634935154,26.7340088464358,25.043488984593
27,150.0460655205,147.229387788423,129.767166257033,44.8759237208939,26.7486015697076,25.0582157358095
28,149.978998704875,147.153744357686,129.800006302775,44.887226958583,26.7443968732045,25.0477851219
29,149.973775118159,147.250299737266,129.801664724715,44.8859812704715,26.7279965859731,25.0644469221122
30,149.974640184169,147.140006467306,129.827517220413,44.8906002122307,26.7417382317482,25.0660328134653
31,150.044367442831,147.250109067725,129.923332610303,44.9150818163988,26.7422865992367,25.0640092041925
32,149.991644597317,147.248251790234,129.888508161064,44.9379997451275,26.7399119230982,25.0437979814235
33,149.931723729059,147.196538958738,129.896546641896,44.9475553154164,26.75419401296,25.0560083215739
34,149.944292578611,147.151315416559,129.90519585893,44.9395023321301,26.7566390427544,25.0519233957605
35,149.937799297802,147.147030054298,129.893205782709,44.9519450078842,26.7458289182039,25.0445810199555
36,149.965770775614,147.162857954201,129.921819430536,44.9860963879453,26.7467915146923,25.0490342640421
37,149.967245962394,147.24625167312,129.961603672186,44.9907395656604,26.7384928458826,25.0443044352749
38,149.995313672519,147.213110139629,129.931026640932,44.9918018711568,26.7537274751925,25.0486113934219
39,149.93226343971,147.218075854512,129.890300314726,44.9764101132206,26.7396110405103,25.066213820359
40,150.019120318593,147.280611142061,130.008462260592,44.9771517348343,26.748798494165,25.0629957308903
41,149.965810330879,147.179129245279,129.901000506521,44.985321293617,26.7504319712245,25.0437795346278
42,150.009624190705,147.169227372762,129.98723749894,45.0001815318232,26.7465305994491,25.0670314640218
43,149.976354612772,147.215821817176,130.005550389104,45.0017902903419,26.7547549464811,25.0660789966797
44,150.026162412104,147.185198050658,129.929548815786,45.0178118025528,26.7502227647387,25.0439758906663
45,149.949006787249,147.188799863614,130.026134868981,45.038290338297,26.7561035202987,25.0510658284035
46,149.940828788952,147.193095048904,124.968860338625,49.5224482741184,26.7596711766545,25.0607408463995
47,149.935472547569,147.103546543867,122.847483433593,51.7987496792206,26.8144953110167,25.0436142735817
48,150.061244231339,146.973657016436,121.457851811786,53.2718520254643,26.9050909266301,25.0488988996802
49,150.058770034094,146.841963040865,120.471956049311,54.410669196247,27.0029201095545,25.0504912171192
50,150.050877339596,146.766358982922,119.626256133986,55.2705293347818,27.0952445374605,25.0636777980245
51,149.980257563014,146.586225177835,119.104530746332,55.9692682794467,27.1708951158126,25.0558735415813
52,149.942832325575,146.415194871164,118.631217656981,56.5121026785897,27.2419787652521,25.0457149585753
